Leica,MiniLidarS
0.055,0.082
0.055,0.084
0.055,0.081
0.055,0.082
0.055,0.086
0.055,0.082
0.055,0.086
0.055,0.085
0.055,0.085
0.055,0.081
0.055,0.085
0.055,0.083
0.055,0.083
0.055,0.085
0.055,0.084
0.055,0.084
0.055,0.083
0.055,0.085
0.055,0.084
0.055,0.085
0.055,0.085
0.055,0.084
0.055,0.086
0.055,0.084
0.055,0.084
0.055,0.084
0.055,0.081
0.055,0.083
0.055,0.082
0.055,0.082
0.055,0.084
0.055,0.081
0.055,0.082
0.055,0.084
0.055,0.083
0.055,0.084
0.055,0.082
0.055,0.085
0.055,0.085
0.055,0.085
0.074,0.09
0.074,0.092
0.074,0.092
0.074,0.091
0.074,0.089
0.074,0.09
0.074,0.094
0.074,0.09
0.074,0.092
0.074,0.092
0.074,0.09
0.074,0.09
0.074,0.092
0.074,0.094
0.074,0.09
0.074,0.093
0.074,0.094
0.074,0.09
0.074,0.09
0.074,0.092
0.074,0.091
0.074,0.091
0.074,0.09
0.074,0.091
0.074,0.087
0.074,0.091
0.074,0.092
0.074,0.091
0.074,0.091
0.074,0.09
0.074,0.091
0.074,0.09
0.074,0.093
0.074,0.091
0.074,0.09
0.074,0.094
0.074,0.091
0.074,0.092
0.074,0.092
0.074,0.093
0.092,0.101
0.092,0.103
0.092,0.103
0.092,0.102
0.092,0.1
0.092,0.102
0.092,0.1
0.092,0.101
0.092,0.102
0.092,0.101
0.092,0.102
0.092,0.101
0.092,0.102
0.092,0.101
0.092,0.104
0.092,0.101
0.092,0.102
0.092,0.104
0.092,0.103
0.092,0.103
0.092,0.102
0.092,0.102
0.092,0.101
0.092,0.101
0.092,0.102
0.092,0.102
0.092,0.1
0.092,0.102
0.092,0.104
0.092,0.103
0.092,0.102
0.092,0.102
0.092,0.102
0.092,0.102
0.092,0.102
0.092,0.101
0.092,0.102
0.092,0.101
0.092,0.101
0.092,0.101
0.111,0.119
0.111,0.118
0.111,0.116
0.111,0.116
0.111,0.12
0.111,0.112
0.111,0.116
0.111,0.118
0.111,0.119
0.111,0.118
0.111,0.119
0.111,0.119
0.111,0.115
0.111,0.118
0.111,0.118
0.111,0.115
0.111,0.118
0.111,0.119
0.111,0.118
0.111,0.118
0.111,0.118
0.111,0.124
0.111,0.116
0.111,0.119
0.111,0.115
0.111,0.122
0.111,0.117
0.111,0.117
0.111,0.115
0.111,0.119
0.111,0.118
0.111,0.116
0.111,0.123
0.111,0.118
0.111,0.119
0.111,0.119
0.111,0.119
0.111,0.118
0.111,0.12
0.111,0.119
0.124,0.133
0.124,0.13
0.124,0.132
0.124,0.134
0.124,0.133
0.124,0.133
0.124,0.135
0.124,0.13
